command,intent,target_type,attribute,spatial_relation,spatial_reference,position
delete purple image,delete,image,purple,NONE,NONE,NONE
long-press the 2nd icon to the right of the wi-fi,long-press,icon,NONE,right_of,wi-fi,2nd
remove image next to the home,delete,image,NONE,next_to,home,NONE
remove image below the profile,delete,image,NONE,below,profile,NONE
press and hold icon to the right of the help,long-press,icon,NONE,right_of,help,NONE
press and hold purple image,long-press,image,purple,NONE,NONE,NONE
scroll down to the 3rd green text,scroll,text,green,NONE,NONE,3rd
tap black button below the help,tap,button,black,below,help,NONE
select the last checkbox,click,checkbox,NONE,NONE,NONE,last
press and hold text above the search,long-press,text,NONE,above,search,NONE
press and hold image to the left of the profile,long-press,image,NONE,left_of,profile,NONE
long-press pink text above the profile,long-press,text,pink,above,profile,NONE
paste text to the right of the cart,paste,text,NONE,right_of,cart,NONE
scroll down to blue menu,scroll,menu,blue,NONE,NONE,NONE
open the last pink link above the home,open,link,pink,above,home,last
launch pink menu,open,menu,pink,NONE,NONE,NONE
long-press blue icon above the payment,long-press,icon,blue,above,payment,NONE
open gray menu to the left of the last item,open,menu,gray,left_of,last item,NONE
trash the 1st image,delete,image,NONE,NONE,NONE,1st
press the last blue checkbox below the menu,click,checkbox,blue,below,menu,last
open the 3rd menu to the left of the help,open,menu,NONE,left_of,help,3rd
click text,click,text,NONE,NONE,NONE,NONE
open icon next to the checkout,open,icon,NONE,next_to,checkout,NONE
tap the 3rd switch next to the profile,tap,switch,NONE,next_to,profile,3rd
tap the 2nd link below the last item,tap,link,NONE,below,last item,2nd
long-press text,long-press,text,NONE,NONE,NONE,NONE
select text,click,text,NONE,NONE,NONE,NONE
copy green text next to the notifications,copy,text,green,next_to,notifications,NONE
press checkbox next to the settings,click,checkbox,NONE,next_to,settings,NONE
copy text to the right of the address,copy,text,NONE,right_of,address,NONE
tap on button,tap,button,NONE,NONE,NONE,NONE
trash the 1st text to the right of the first email,delete,text,NONE,right_of,first email,1st
press and hold button next to the first email,long-press,button,NONE,next_to,first email,NONE
select the 2nd image above the search,click,image,NONE,above,search,2nd
press the 3rd icon to the right of the search,click,icon,NONE,right_of,search,3rd
tap icon,tap,icon,NONE,NONE,NONE,NONE
remove image to the right of the cart,delete,image,NONE,right_of,cart,NONE
scroll down to orange text to the right of the cart,scroll,text,orange,right_of,cart,NONE
launch link above the home,open,link,NONE,above,home,NONE
launch red link next to the address,open,link,red,next_to,address,NONE
scroll down to the 1st menu,scroll,menu,NONE,NONE,NONE,1st
launch tab,open,tab,NONE,NONE,NONE,NONE
copy text to the left of the help,copy,text,NONE,left_of,help,NONE
long-press the last white button to the left of the checkout,long-press,button,white,left_of,checkout,last
select link above the profile,click,link,NONE,above,profile,NONE
paste text to the right of the profile,paste,text,NONE,right_of,profile,NONE
tap link,tap,link,NONE,NONE,NONE,NONE
long-press gray text to the left of the help,long-press,text,gray,left_of,help,NONE
scroll to tab to the right of the home,scroll,tab,NONE,right_of,home,NONE
click the 2nd blue image to the left of the payment,click,image,blue,left_of,payment,2nd
copy pink text to the left of the first email,copy,text,pink,left_of,first email,NONE
open orange tab below the checkout,open,tab,orange,below,checkout,NONE
press gray link,click,link,gray,NONE,NONE,NONE
paste the 1st text below the wi-fi,paste,text,NONE,below,wi-fi,1st
press image,click,image,NONE,NONE,NONE,NONE
tap gray tab,tap,tab,gray,NONE,NONE,NONE
tap black switch below the notifications,tap,switch,black,below,notifications,NONE
press red checkbox,click,checkbox,red,NONE,NONE,NONE
click on black button to the left of the profile,click,button,black,left_of,profile,NONE
copy the 2nd text,copy,text,NONE,NONE,NONE,2nd
long-press icon,long-press,icon,NONE,NONE,NONE,NONE
open link to the left of the first email,open,link,NONE,left_of,first email,NONE
press and hold image above the settings,long-press,image,NONE,above,settings,NONE
long-press yellow text to the right of the first email,long-press,text,yellow,right_of,first email,NONE
launch the 1st red menu above the menu,open,menu,red,above,menu,1st
click text next to the cart,click,text,NONE,next_to,cart,NONE
paste text,paste,text,NONE,NONE,NONE,NONE
tap gray checkbox,tap,checkbox,gray,NONE,NONE,NONE
press and hold the last red text,long-press,text,red,NONE,NONE,last
click on the 3rd gray image next to the first email,click,image,gray,next_to,first email,3rd
select orange icon next to the menu,click,icon,orange,next_to,menu,NONE
open green button,open,button,green,NONE,NONE,NONE
press and hold white icon above the menu,long-press,icon,white,above,menu,NONE
scroll to the 2nd gray tab,scroll,tab,gray,NONE,NONE,2nd
paste text above the address,paste,text,NONE,above,address,NONE
press and hold the 1st icon to the right of the search,long-press,icon,NONE,right_of,search,1st
launch menu to the right of the wi-fi,open,menu,NONE,right_of,wi-fi,NONE
open the 2nd icon,open,icon,NONE,NONE,NONE,2nd
press and hold the last text below the address,long-press,text,NONE,below,address,last
scroll down to the last menu to the left of the checkout,scroll,menu,NONE,left_of,checkout,last
launch link to the left of the notifications,open,link,NONE,left_of,notifications,NONE
remove image to the left of the home,delete,image,NONE,left_of,home,NONE
tap icon,tap,icon,NONE,NONE,NONE,NONE
press and hold the 3rd button,long-press,button,NONE,NONE,NONE,3rd
tap button,tap,button,NONE,NONE,NONE,NONE
press and hold the 3rd text,long-press,text,NONE,NONE,NONE,3rd
press and hold button next to the login,long-press,button,NONE,next_to,login,NONE
paste text above the search,paste,text,NONE,above,search,NONE
tap switch to the right of the address,tap,switch,NONE,right_of,address,NONE
open the 1st menu,open,menu,NONE,NONE,NONE,1st
scroll to the 3rd text,scroll,text,NONE,NONE,NONE,3rd
press switch next to the search,click,switch,NONE,next_to,search,NONE
trash gray text below the checkout,delete,text,gray,below,checkout,NONE
remove image,delete,image,NONE,NONE,NONE,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
delete button next to the first email,delete,button,NONE,next_to,first email,NONE
copy text next to the settings,copy,text,NONE,next_to,settings,NONE
select purple image to the left of the search,click,image,purple,left_of,search,NONE
copy the last text,copy,text,NONE,NONE,NONE,last
copy yellow text,copy,text,yellow,NONE,NONE,NONE
tap yellow icon next to the wi-fi,tap,icon,yellow,next_to,wi-fi,NONE
copy black text,copy,text,black,NONE,NONE,NONE
scroll down to tab,scroll,tab,NONE,NONE,NONE,NONE
click the 1st button,click,button,NONE,NONE,NONE,1st
scroll to the last purple menu to the right of the first email,scroll,menu,purple,right_of,first email,last
select the 1st link to the right of the first email,click,link,NONE,right_of,first email,1st
tap on pink link below the help,tap,link,pink,below,help,NONE
open the 3rd white menu,open,menu,white,NONE,NONE,3rd
scroll to the 3rd green text to the left of the settings,scroll,text,green,left_of,settings,3rd
tap on switch,tap,switch,NONE,NONE,NONE,NONE
tap icon,tap,icon,NONE,NONE,NONE,NONE
scroll to text next to the first email,scroll,text,NONE,next_to,first email,NONE
tap the 2nd switch,tap,switch,NONE,NONE,NONE,2nd
tap on button,tap,button,NONE,NONE,NONE,NONE
trash button to the right of the profile,delete,button,NONE,right_of,profile,NONE
trash button,delete,button,NONE,NONE,NONE,NONE
scroll down to menu,scroll,menu,NONE,NONE,NONE,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
paste blue text,paste,text,blue,NONE,NONE,NONE
tap switch above the cart,tap,switch,NONE,above,cart,NONE
scroll down to text,scroll,text,NONE,NONE,NONE,NONE
scroll down to the last menu below the address,scroll,menu,NONE,below,address,last
long-press icon,long-press,icon,NONE,NONE,NONE,NONE
trash white text to the right of the help,delete,text,white,right_of,help,NONE
press and hold icon to the left of the login,long-press,icon,NONE,left_of,login,NONE
press and hold the 2nd button,long-press,button,NONE,NONE,NONE,2nd
scroll to the 3rd tab next to the search,scroll,tab,NONE,next_to,search,3rd
open icon below the search,open,icon,NONE,below,search,NONE
long-press black text,long-press,text,black,NONE,NONE,NONE
remove button to the right of the checkout,delete,button,NONE,right_of,checkout,NONE
tap the 3rd black button to the left of the checkout,tap,button,black,left_of,checkout,3rd
press and hold text above the help,long-press,text,NONE,above,help,NONE
tap icon below the payment,tap,icon,NONE,below,payment,NONE
press and hold text below the payment,long-press,text,NONE,below,payment,NONE
click switch below the menu,click,switch,NONE,below,menu,NONE
paste text below the first email,paste,text,NONE,below,first email,NONE
scroll to the 2nd menu above the settings,scroll,menu,NONE,above,settings,2nd
press and hold button,long-press,button,NONE,NONE,NONE,NONE
tap on the 2nd switch to the right of the home,tap,switch,NONE,right_of,home,2nd
launch the 3rd black menu below the cart,open,menu,black,below,cart,3rd
press tab next to the last item,click,tab,NONE,next_to,last item,NONE
copy the 3rd text next to the search,copy,text,NONE,next_to,search,3rd
tap orange tab,tap,tab,orange,NONE,NONE,NONE
scroll to the 3rd text below the profile,scroll,text,NONE,below,profile,3rd
click black tab to the left of the search,click,tab,black,left_of,search,NONE
paste the 1st text,paste,text,NONE,NONE,NONE,1st
tap link above the first email,tap,link,NONE,above,first email,NONE
click the 3rd tab above the help,click,tab,NONE,above,help,3rd
select the 2nd orange link to the right of the profile,click,link,orange,right_of,profile,2nd
copy text,copy,text,NONE,NONE,NONE,NONE
press and hold button next to the help,long-press,button,NONE,next_to,help,NONE
tap on checkbox to the right of the wi-fi,tap,checkbox,NONE,right_of,wi-fi,NONE
launch button next to the wi-fi,open,button,NONE,next_to,wi-fi,NONE
open button to the left of the first email,open,button,NONE,left_of,first email,NONE
scroll down to white tab to the right of the wi-fi,scroll,tab,white,right_of,wi-fi,NONE
copy orange text,copy,text,orange,NONE,NONE,NONE
copy the last text to the left of the profile,copy,text,NONE,left_of,profile,last
tap orange switch,tap,switch,orange,NONE,NONE,NONE
trash image above the cart,delete,image,NONE,above,cart,NONE
scroll down to white menu,scroll,menu,white,NONE,NONE,NONE
long-press text to the right of the settings,long-press,text,NONE,right_of,settings,NONE
remove text to the left of the search,delete,text,NONE,left_of,search,NONE
select red checkbox,click,checkbox,red,NONE,NONE,NONE
long-press the 2nd icon,long-press,icon,NONE,NONE,NONE,2nd
paste text next to the help,paste,text,NONE,next_to,help,NONE
select text to the left of the help,click,text,NONE,left_of,help,NONE
scroll to menu above the wi-fi,scroll,menu,NONE,above,wi-fi,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
press image,click,image,NONE,NONE,NONE,NONE
paste gray text to the right of the payment,paste,text,gray,right_of,payment,NONE
long-press button,long-press,button,NONE,NONE,NONE,NONE
tap on switch below the wi-fi,tap,switch,NONE,below,wi-fi,NONE
tap green button to the right of the search,tap,button,green,right_of,search,NONE
tap gray button,tap,button,gray,NONE,NONE,NONE
copy text below the login,copy,text,NONE,below,login,NONE
paste text next to the notifications,paste,text,NONE,next_to,notifications,NONE
click on switch to the left of the profile,click,switch,NONE,left_of,profile,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
copy text,copy,text,NONE,NONE,NONE,NONE
long-press text to the left of the notifications,long-press,text,NONE,left_of,notifications,NONE
scroll down to text,scroll,text,NONE,NONE,NONE,NONE
trash the 3rd blue text to the right of the notifications,delete,text,blue,right_of,notifications,3rd
press and hold the 3rd icon above the cart,long-press,icon,NONE,above,cart,3rd
paste orange text,paste,text,orange,NONE,NONE,NONE
copy red text next to the address,copy,text,red,next_to,address,NONE
launch blue button to the left of the help,open,button,blue,left_of,help,NONE
paste the 2nd text to the right of the profile,paste,text,NONE,right_of,profile,2nd
copy text above the wi-fi,copy,text,NONE,above,wi-fi,NONE
press and hold blue icon above the address,long-press,icon,blue,above,address,NONE
press tab,click,tab,NONE,NONE,NONE,NONE
open link,open,link,NONE,NONE,NONE,NONE
copy text to the right of the search,copy,text,NONE,right_of,search,NONE
paste text to the left of the cart,paste,text,NONE,left_of,cart,NONE
scroll to tab above the menu,scroll,tab,NONE,above,menu,NONE
delete text above the home,delete,text,NONE,above,home,NONE
copy the 3rd text below the wi-fi,copy,text,NONE,below,wi-fi,3rd
click the 2nd tab above the first email,click,tab,NONE,above,first email,2nd
long-press icon to the left of the settings,long-press,icon,NONE,left_of,settings,NONE
